dataset_group	tier	dataset_or_analysis	packaged	staged_bytes	staged_size	archive_path	source_path	producer_or_source
CRC Visium HD	raw	CRC Visium HD	no		external	raw/README_crc_visium_hd.md	data/visium-hd-crc/; data/visium-hd/human-coloretal-cancer/	10x Genomics dataset portal; accession link in docs/data_accessions.md
Prostate Slide-seq V2	raw	Prostate Slide-seq V2	yes	395012178	376.7 MiB	raw/prostate_slideseq_v2/	data/slide-seq-tumor/Benign04_slide_seq.h5ad; data/slide-seq-tumor/Tumor08_slide_seq.h5ad; data/slide-seq-tumor/Tumor02_slide_seq.h5ad; data/slide-seq-tumor/HP1_slide_seq.h5ad; data/slide-seq-tumor/slideseq_ano.csv	GEO GSE181294
DLPFC Visium	raw	DLPFC Visium	yes	1332489433	1.2 GiB	raw/dlpfc_visium/	data/151507/151507_annotated.h5ad; data/151508/151508_annotated.h5ad; data/151509/151509_annotated.h5ad; data/151510/151510_annotated.h5ad; data/151669/151669_annotated.h5ad; data/151670/151670_annotated.h5ad; data/151671/151671_annotated.h5ad; data/151672/151672_annotated.h5ad; data/151673/151673_annotated.h5ad; data/151674/151674_annotated.h5ad; data/151675/151675_annotated.h5ad; data/151676/151676_annotated.h5ad	spatialLIBD HumanPilot
MERFISH hypothalamus	raw	MERFISH hypothalamus	yes	21718135	20.7 MiB	raw/merfish_hypothalamus/	data/merfish_animal1.h5ad; data/merfish_anno/	Dryad doi:10.5061/dryad.8t8s248
STARmap MPFC	raw	STARmap MPFC	yes	2489002	2.4 MiB	raw/starmap_mpfc/merged3.h5ad	data/mpfc_160/merged3.h5ad	Analysis-ready four-section object assembled from STARmap resources
MOSTA E16.5	raw	MOSTA E16.5 analysis-ready input and STEP result	yes	7801608214	7.3 GiB	raw/mosta_e16/mosta_e16_test.h5ad	data/mosta_e16_test.h5ad	Canonical object containing count layers, STEP representations, spatial domains, and manual annotations
Deconvolution simulation	raw	Deconvolution simulation spatial input	yes	847656432	808.4 MiB	raw/deconvolution_simulation/simulated_spatial_ground_truth.h5ad	data/deconvolution_simulation/WWY_C_simust.h5ad	Synthetic spatial ground truth used by the deconvolution simulation notebook
Deconvolution simulation	raw	Deconvolution simulation single-cell reference	yes	3964820214	3.7 GiB	raw/deconvolution_simulation/single_cell_reference.h5ad	data/deconvolution_simulation/likaishu.h5ad	Single-cell reference used by the deconvolution simulation notebook
Human liver	raw	Liver Visium and snRNA-seq	yes	335668006	320.1 MiB	raw/liver/	data/Transcriptomics_technical_optimization/; data/liver_normal2/	Transcriptomics technical optimization repository and Figshare doi:10.6084/m9.figshare.22321447.v1
Whole-brain MERFISH	raw	Whole-brain MERFISH	no		external	raw/README_whole_brain_merfish.md	section-level H5AD inputs supplied to scripts/merfish_whole_brain/run_merfish.py	Zhang et al. doi:10.1038/s41586-023-06808-9
