tier	dataset	archive_path	source_path	size_bytes	status	zenodo_action	producer_or_source
raw	CRC Visium HD	raw/README_crc_visium_hd.md	data/visium-hd-crc/; data/visium-hd/human-coloretal-cancer/	132715298550	public_source_available	link_only	10x Genomics dataset portal; accession link in docs/data_accessions.md
raw	Prostate Slide-seq V2	raw/prostate_slideseq_v2/	data/slide-seq-tumor/Benign04_slide_seq.h5ad; data/slide-seq-tumor/Tumor08_slide_seq.h5ad; data/slide-seq-tumor/Tumor02_slide_seq.h5ad; data/slide-seq-tumor/HP1_slide_seq.h5ad; data/slide-seq-tumor/slideseq_ano.csv	395012178	present_in_local_data_store	upload_analysis_ready_input	GEO GSE181294
raw	DLPFC Visium	raw/dlpfc_visium/	data/151507/151507_annotated.h5ad; data/151508/151508_annotated.h5ad; data/151509/151509_annotated.h5ad; data/151510/151510_annotated.h5ad; data/151669/151669_annotated.h5ad; data/151670/151670_annotated.h5ad; data/151671/151671_annotated.h5ad; data/151672/151672_annotated.h5ad; data/151673/151673_annotated.h5ad; data/151674/151674_annotated.h5ad; data/151675/151675_annotated.h5ad; data/151676/151676_annotated.h5ad	1332489433	present_in_local_data_store	upload_analysis_ready_input	spatialLIBD HumanPilot
raw	MERFISH hypothalamus	raw/merfish_hypothalamus/	data/merfish_animal1.h5ad; data/merfish_anno/	21718135	present_in_local_data_store	upload_analysis_ready_input	Dryad doi:10.5061/dryad.8t8s248
raw	STARmap MPFC	raw/starmap_mpfc/merged3.h5ad	data/mpfc_160/merged3.h5ad	2489002	present_in_local_data_store	upload_analysis_ready_input	Analysis-ready four-section object assembled from STARmap resources
raw	MOSTA E16.5 analysis-ready input and STEP result	raw/mosta_e16/mosta_e16_test.h5ad	data/mosta_e16_test.h5ad	7801608214	present_in_local_data_store	upload_analysis_ready_input	Canonical object containing count layers, STEP representations, spatial domains, and manual annotations
raw	Deconvolution simulation spatial input	raw/deconvolution_simulation/simulated_spatial_ground_truth.h5ad	data/deconvolution_simulation/WWY_C_simust.h5ad	847656432	present_in_local_data_store	upload_analysis_ready_input	Synthetic spatial ground truth used by the deconvolution simulation notebook
raw	Deconvolution simulation single-cell reference	raw/deconvolution_simulation/single_cell_reference.h5ad	data/deconvolution_simulation/likaishu.h5ad	3964820214	present_in_local_data_store	upload_analysis_ready_input	Single-cell reference used by the deconvolution simulation notebook
raw	Liver Visium and snRNA-seq	raw/liver/	data/Transcriptomics_technical_optimization/; data/liver_normal2/	4236731406	present_in_local_data_store	upload_analysis_ready_input	Transcriptomics technical optimization repository and Figshare doi:10.6084/m9.figshare.22321447.v1
raw	Whole-brain MERFISH	raw/README_whole_brain_merfish.md	section-level H5AD inputs supplied to scripts/merfish_whole_brain/run_merfish.py	NA	public_source_available	link_only	Zhang et al. doi:10.1038/s41586-023-06808-9
raw	Cross-platform mouse brain	raw/README_cross_platform_mouse_brain.md	docs/cross_platform_mouse_brain_sources.md	10393216682	public_source_available	link_only	Published NicheCompass MERFISH and STARmap PLUS reference
intermediate	CRC histopathology	intermediate/crc/8um_squares_annotation.csv	data/8um_squares_annotation.csv	19233709	present_in_local_data_store	upload	Pathology annotations consumed by scripts/crc_visium_hd/crc_ma_histomorphology.py
intermediate	Spatial coherence simulations	intermediate/validation/coherence_simulation/	data/coherence_simulation/simulation_grid_based.h5ad; data/coherence_simulation/simulation_with_step_results.h5ad; data/coherence_simulation/simulation_local_ccc_negative_coherence.h5ad; data/coherence_simulation/simulation_local_ccc_negative_coherence_with_step.h5ad	24626048	present_in_local_data_store	upload	Canonical simulated inputs and STEP outputs consumed by the coherence validation workflow
intermediate	CRC Visium HD	intermediate/crc/crc_8um_5slices_domain.h5ad	results/visium-hd/crc_8um_5slices_domain.h5ad	9498615057	present_in_local_data_store	upload	notebooks/tutorials/crc_visium_hd_representation.ipynb
intermediate	CRC Visium HD	intermediate/crc/crc5_meta.csv	results/visium-hd/crc5_meta.csv	148184806	present_in_local_data_store	upload	Manuscript marker-cluster metadata
intermediate	CRC Visium HD	intermediate/crc/crc5_meta_filtered.csv	results/visium-hd/crc5_meta_filtered.csv	247762158	present_in_local_data_store	upload	Canonical-marker cell-type annotations consumed by the MA workflow
intermediate	CRC Visium HD	intermediate/crc/cancer_tumor_regions.h5ad	results/visium-hd/cancer_tumor_regions.h5ad	4465615465	present_in_local_data_store	upload	notebooks/main/crc_visium_hd.ipynb
intermediate	CRC Visium HD	intermediate/crc/periphery_distances.csv	periphery_distances.csv	67048	present_in_local_data_store	upload	notebooks/main/crc_visium_hd.ipynb
intermediate	CRC Visium HD	intermediate/crc/microarc_true50um.pkl	results/visium-hd/microarc_true50um.pkl	878979281	present_in_local_data_store	upload	notebooks/tutorials/crc_visium_hd_microarchitecture.ipynb
intermediate	CRC Visium HD	intermediate/crc/metadata_with_patterns_true50um.csv	results/visium-hd/metadata_with_patterns_true50um.csv	259904437	present_in_local_data_store	upload	scripts/crc_visium_hd/build_microarchitecture.py
intermediate	CRC Visium HD	intermediate/crc/microarc_true50um_settings.json	results/visium-hd/microarc_true50um_settings.json	629	present_in_local_data_store	upload	scripts/crc_visium_hd/build_microarchitecture.py
intermediate	CRC ligand-receptor source tables	intermediate/crc/lr_source_tables/	results/visium-hd/niche_pattern_[0-3]_cellphonedb.csv; results/visium-hd/niche_pattern_[0-3]_multi_agg.csv	1289162	present_in_local_data_store	upload	Original CellPhoneDB result tables; BH-FDR postprocessing is implemented in scripts/crc_visium_hd/run_lr_analysis.py
intermediate	CRC Visium HD	intermediate/crc/crc5_meta_with_deconv.csv	results/visium-hd/crc5_meta_with_deconv.csv	164313055	present_in_local_data_store	upload	Consumed by scripts/crc_visium_hd/crc_ma_histomorphology.py
intermediate	Prostate Slide-seq V2	intermediate/prostate/prostate_slideseq_step.h5ad	results/slide-seq/prostate_slideseq_step.h5ad	1205081462	present_in_local_data_store	upload	notebooks/tutorials/prostate_slideseq_v2_representation.ipynb
intermediate	Prostate Slide-seq V2	intermediate/prostate/prostate_microarchitecture_results.pkl	results/slide-seq/prostate_microarchitecture_results.pkl	119225035	present_in_local_data_store	upload	scripts/prostate_slideseq_v2/build_microarchitecture.py
intermediate	Prostate Slide-seq V2	intermediate/prostate/prostate_microarchitecture_metadata.csv	results/slide-seq/prostate_microarchitecture_metadata.csv	10008918	present_in_local_data_store	upload	scripts/prostate_slideseq_v2/build_microarchitecture.py
intermediate	Prostate Slide-seq V2	intermediate/prostate/lr_tables/	results/slide-seq/niche_pattern_[0-4]_cellphonedb.csv; results/slide-seq/niche_pattern_[0-4]_multi_agg.csv	2541970	present_in_local_data_store	upload	notebooks/tutorials/prostate_slideseq_v2_microarchitecture.ipynb
intermediate	DLPFC Visium	intermediate/dlpfc/	results/DLPFC/151507_to_151510_integrated.h5ad; results/DLPFC/151669_to_151672_integrated.h5ad; results/DLPFC/151673_to_151676_integrated.h5ad; results/DLPFC/p1_res.csv; results/DLPFC/p2_res.csv; results/DLPFC/p3_res.csv	1962917411	present_in_local_data_store	upload	notebooks/main/dlpfc_visium.ipynb
intermediate	MERFISH hypothalamus	intermediate/merfish_hypothalamus/processed.h5ad	results/MERFISH/processed.h5ad	64965164	present_in_local_data_store	upload	notebooks/main/merfish_hypothalamus_analysis.ipynb
intermediate	STARmap MPFC	intermediate/starmap_mpfc/processed.h5ad	results/STARmap/processed.h5ad	9523812	present_in_local_data_store	upload	notebooks/main/starmap_mpfc.ipynb
intermediate	Liver spatial domains and zonation	intermediate/liver/spatial_domains_and_zonation.h5ad	results/human_liver_normal4/config/zoned.h5ad	752702964	present_in_local_data_store	upload	notebooks/main/liver_visium_BA_normal.ipynb
intermediate	Liver joint co-embedding	intermediate/liver/joint_coembedding.h5ad	results/human_liver_normal4/deconv/integrated_adata.h5ad	1509140032	present_in_local_data_store	upload	notebooks/main/liver_visium_BA_normal.ipynb
intermediate	Liver spatial deconvolution	intermediate/liver/spatial_deconvolution.h5ad	results/human_liver_normal4/deconv/st_adata.h5ad	629096192	present_in_local_data_store	upload	notebooks/main/liver_visium_BA_normal.ipynb
intermediate	Liver deconvolution estimates	intermediate/liver/deconvolution_estimates.csv	results/human_liver_normal4/deconv/deconv_res.csv	1849469	present_in_local_data_store	upload	notebooks/main/liver_visium_BA_normal.ipynb
intermediate	Whole-brain MERFISH	intermediate/whole_brain_merfish/merged_and_step_outputs/	results/merfish_wo_imputation_merged/	419430400	present_in_local_analysis_store	stage_and_upload	scripts/merfish_whole_brain/run_merfish.py
intermediate	Cross-platform mouse brain annotations	intermediate/cross_platform_mouse_brain/evaluation_annotations.parquet	results/cross_platform_mouse_brain/evaluation_annotations.parquet	36793891	present_in_local_data_store	upload	scripts/cross_platform_mouse_brain/build_evaluation_annotations.py
intermediate	Cross-platform mouse brain annotation summary	intermediate/cross_platform_mouse_brain/evaluation_annotations.summary.json	results/cross_platform_mouse_brain/evaluation_annotations.summary.json	866	present_in_local_data_store	upload	scripts/cross_platform_mouse_brain/build_evaluation_annotations.py
intermediate	Cross-platform mouse brain STEP	intermediate/cross_platform_mouse_brain/step_9471568_k10/	results/cross_platform_mouse_brain/step_9471568_k10/	1864338983	present_in_local_data_store	upload	scripts/cross_platform_mouse_brain/run_step_cross_platform.py
output	Spatial coherence simulations	outputs/workflows/coherence_simulation/	workflows/coherence_simulation/	8926777	present_in_repository	upload	scripts/coherence_simulation/ and notebooks/validation/spatial_coherence_simulation.ipynb
output	CRC gene-distance heatmaps	outputs/workflows/crc_gene_distance_heatmaps/	workflows/crc_gene_distance_heatmaps/	9996665	present_in_repository	upload	scripts/crc_visium_hd/make_crc_gene_distance_heatmaps.py
output	CRC interface zonation	outputs/workflows/crc_interface_zonation/	workflows/crc_interface_zonation/	2091248	present_in_repository	upload	scripts/crc_visium_hd/make_crc_interface_zonation_stacked.py
output	CRC MA histomorphology	outputs/workflows/crc_ma_histomorphology/	workflows/crc_ma_histomorphology/	178535	present_in_repository	upload	scripts/crc_visium_hd/crc_ma_histomorphology.py
output	CRC MA threshold sensitivity	outputs/workflows/crc_ma_threshold_sensitivity/	workflows/crc_ma_threshold_sensitivity/	7532433	present_in_repository	upload	scripts/crc_visium_hd/ma_threshold_sensitivity.py
output	CRC periphery continuity	outputs/workflows/crc_periphery_continuity/	workflows/crc_periphery_continuity/	363551	present_in_repository	upload	scripts/crc_visium_hd/plot_periphery_continuity.R
output	External benchmark runtime	outputs/workflows/external_benchmark_runtime/	workflows/external_benchmark_runtime/	131357	present_in_repository	upload	scripts/runtime/make_external_runtime_figure.py
output	GraphSAINT sampling	outputs/workflows/graphsaint_sampling/	workflows/graphsaint_sampling/	560231	present_in_repository	upload	scripts/graphsaint_sampling/simulate_square_grid_node_sampling.py
output	Image-based graph k sweep	outputs/workflows/image_based_k_sweep/	workflows/image_based_k_sweep/	3242094	present_in_repository	upload	scripts/image_based_k_sweep/
output	Whole-brain MERFISH	outputs/workflows/merfish_whole_brain_8_4m/	workflows/merfish_whole_brain_8_4m/	24448605	present_in_repository	upload	scripts/merfish_whole_brain/run_merfish.py
