sample,x,y,cluster
Benign04,4817.7,1815.6,3
Benign04,4754.4,2315.9,3
Benign04,1616.9,2436.9,3
Benign04,4128.8,4793.7,3
Benign04,3945.6,918.64,3
Benign04,2091.0,2602.7,3
Benign04,2213.5,4198.4,2
Benign04,4005.7,3823.9,3
Benign04,4425.6,1084.8,3
Benign04,5002.3,2668.5,3
Benign04,2977.6,3733.1,3
Benign04,4569.6,4283.2,3
Benign04,4586.8,3245.7,3
Benign04,4862.3,3064.9,3
Benign04,3398.7,4552.7,3
Benign04,4092.2,3912.9,3
Benign04,4322.9,1119.6,4
Benign04,4007.5,3114.5,3
Benign04,3213.0,2154.2,3
Benign04,4785.8,3178.1,3
Benign04,3889.2,938.41,3
Benign04,4150.2,4840.6,3
Benign04,5198.2,2495.3,3
Benign04,4090.4,1038.5,3
Benign04,4722.5,2597.1,3
Benign04,4356.7,2663.2,3
Benign04,4668.6,3301.3,4
Benign04,4236.7,3321.1,3
Benign04,5061.9,2244.2,3
Benign04,4798.2,2378.5,3
Benign04,3400.6,1357.7,2
Benign04,3469.5,3317.6,3
Benign04,5496.2,2833.6,3
Benign04,3706.1,5215.0,3
Benign04,5587.9,3410.4,2
Benign04,4411.3,2939.1,3
Benign04,2550.8,1605.0,3
Benign04,4723.1,2544.4,3
Benign04,3867.4,1251.9,3
Benign04,3109.4,2169.6,3
Benign04,3080.6,2333.2,3
Benign04,2068.9,3241.3,3
Benign04,1500.1,2796.0,3
Benign04,3828.4,5373.9,3
Benign04,4108.9,1037.8,4
Benign04,4894.6,4047.8,3
Benign04,2462.3,1385.8,3
Benign04,5130.5,2056.9,3
Benign04,813.71,3472.5,3
Benign04,1306.5,3534.3,3
Benign04,3403.5,4676.8,3
Benign04,2713.9,5100.8,3
Benign04,4698.5,3821.2,3
Benign04,5400.2,3687.1,3
Benign04,3444.6,2773.2,3
Benign04,4268.8,3712.0,2
Benign04,5212.2,3284.0,2
Benign04,4340.7,2580.1,3
Benign04,3152.1,2858.5,3
Benign04,5368.8,3971.0,3
Benign04,5175.0,1730.7,3
Benign04,4524.5,3093.3,3
Benign04,4066.8,3637.1,3
Benign04,2030.9,3195.1,3
Benign04,5266.9,1922.8,3
Benign04,4608.7,4263.4,3
Benign04,3761.1,3035.9,3
Benign04,3682.3,2479.4,3
Benign04,4489.7,3020.9,3
Benign04,4210.3,3434.5,3
Benign04,4893.8,3219.0,3
Benign04,2707.4,1687.6,3
Benign04,5035.9,2246.5,3
Benign04,1921.9,2344.5,3
Benign04,4985.1,3175.6,3
Benign04,5025.5,2311.8,3
Benign04,1864.7,3442.3,3
Benign04,4514.9,1652.9,3
