method,training_mode,train_graph,infer_graph,ari_mean,ari_std,nmi_mean,nmi_std
graphst,fullneighbors,annotation,annotation,0.5088240148545738,0.09121091473731899,0.6349974671851808,0.06560320742572277
graphst,fullneighbors,annotation,spatial,0.5032792449140959,0.07217004282852475,0.6386830993244956,0.04692172560770571
graphst,fullneighbors,spatial,annotation,0.5007986345909242,0.11539990111008684,0.6298316053904256,0.07209874241770642
graphst,fullneighbors,spatial,spatial,0.48946575097825,0.10203392553435803,0.6268987282892898,0.06387615032513103
graphst,sampled,annotation,annotation,0.5360102884592007,0.09481047427176674,0.6567999529087173,0.07172757061576548
graphst,sampled,annotation,spatial,0.5141935695207515,0.08880876427337123,0.6425496686523369,0.07168845950094378
graphst,sampled,spatial,annotation,0.526038818871681,0.11665048763512208,0.6588927861540693,0.07007997585931448
graphst,sampled,spatial,spatial,0.5297744212546477,0.08884352853388128,0.6531278434944816,0.052197498083682174
graphst,whole,annotation,annotation,0.5286050074422074,0.08195643739821593,0.6506669986546781,0.06034954034995983
graphst,whole,annotation,spatial,0.48413031324044226,0.09773490085093728,0.6233098008572855,0.06951578855751357
graphst,whole,spatial,annotation,0.4796285696456511,0.11090269711820826,0.6191606387729689,0.08316908528338988
graphst,whole,spatial,spatial,0.5082450383488424,0.06506222615989364,0.6435981980290656,0.051435948088457605
stagate,fullneighbors,annotation,annotation,0.4968197067475612,0.0961179796700799,0.6290969604844598,0.06581184961563473
stagate,fullneighbors,annotation,spatial,0.46270539742362815,0.08572371598916691,0.6027187502303845,0.06111184309957317
stagate,fullneighbors,spatial,annotation,0.48282397992716325,0.1173038155785715,0.6246384832957145,0.08002089349013457
stagate,fullneighbors,spatial,spatial,0.4976468980794965,0.09331090787503166,0.6301408710429093,0.06498984718885355
stagate,sampled,annotation,annotation,0.5275510303413183,0.0924728442562856,0.6647997030129326,0.05546704712416814
stagate,sampled,annotation,spatial,0.4879970533929388,0.12213870060358782,0.6197773386243698,0.07758833636436803
stagate,sampled,spatial,annotation,0.5418533669493372,0.09461136797767132,0.6673556815907978,0.0640925282558182
stagate,sampled,spatial,spatial,0.4792648690684535,0.10267144445492027,0.6217459192015024,0.0661415002063199
stagate,whole,annotation,annotation,0.4824049645375354,0.11815401196990884,0.6256813261263167,0.08578483500804365
stagate,whole,annotation,spatial,0.4822618604054372,0.10055904073071471,0.6220639956020813,0.07162478132313085
stagate,whole,spatial,annotation,0.4873837401091922,0.11765521500687905,0.6318435060501006,0.08170185653840087
stagate,whole,spatial,spatial,0.47533426591471994,0.09243305885037113,0.6071693990409796,0.07524908251681847
