section,method,training_mode,train_graph,infer_graph,variant,n_eval_spots,n_reference_domains,n_predicted_domains,ari,nmi,pas,chaos
151507,banksy,fixed,,annotation,mclust,4221,7,7,0.4887051289344901,0.650587631687939,0.8272447287372661,0.0590278575387754
151508,banksy,fixed,,annotation,mclust,4381,7,7,0.4871266753195613,0.6102950321427472,0.8368865555809176,0.0583555167693605
151509,banksy,fixed,,annotation,mclust,4788,7,7,0.3871724064926699,0.5629784083168996,0.7958228905597327,0.0575649545229177
151510,banksy,fixed,,annotation,mclust,4595,7,7,0.3256261357311599,0.5234579257093719,0.7963438520130577,0.0587518481377988
151669,banksy,fixed,,annotation,mclust,3636,5,5,0.3393689076404274,0.5289095115910013,0.8705170517051705,0.0622977695352636
151670,banksy,fixed,,annotation,mclust,3484,5,5,0.2913527335269681,0.4448702373698182,0.8652698048220436,0.0616831324874806
151671,banksy,fixed,,annotation,mclust,4093,5,5,0.5844725204395247,0.6654764445515363,0.8710236989982898,0.05905242843833
151672,banksy,fixed,,annotation,mclust,3888,5,5,0.7136620649978536,0.6912469579797762,0.8864454732510288,0.0606814430389785
151673,banksy,fixed,,annotation,mclust,3611,7,7,0.453445266350721,0.6190419517100908,0.8499584602603157,0.0634230318904988
151674,banksy,fixed,,annotation,mclust,3635,7,7,0.4500845122560046,0.60909897051504,0.8497111416781293,0.0621064646937064
151675,banksy,fixed,,annotation,mclust,3566,7,7,0.49799550352594,0.645907652945972,0.8369040942232193,0.0634812747119166
151676,banksy,fixed,,annotation,mclust,3431,7,7,0.4869301638971192,0.6356560001442527,0.830749052754299,0.064727481751846
151507,banksy,fixed,,spatial,mclust,4221,7,7,0.4481722893198793,0.6285658027633123,0.8731106372897418,0.0592743778640042
151508,banksy,fixed,,spatial,mclust,4381,7,7,0.4834675676374427,0.6093620761416441,0.840219128052956,0.0579375339751003
151509,banksy,fixed,,spatial,mclust,4788,7,7,0.3777045583211669,0.5470113142143552,0.7907685881370092,0.0575218005332098
151510,banksy,fixed,,spatial,mclust,4595,7,7,0.3894996366327787,0.5536014718089995,0.7836343852013058,0.0589961453887979
151669,banksy,fixed,,spatial,mclust,3636,5,5,0.3108657083216177,0.4744588201398241,0.8685643564356436,0.0640458665108067
151670,banksy,fixed,,spatial,mclust,3484,5,5,0.3212570058817829,0.4878937997233474,0.8781285878300804,0.0623052396665631
151671,banksy,fixed,,spatial,mclust,4093,5,5,0.5656662869575468,0.648104669470678,0.8727095040312729,0.0589315369702035
151672,banksy,fixed,,spatial,mclust,3888,5,5,0.449220238549057,0.5947488724215945,0.8808899176954732,0.0611328878600769
151673,banksy,fixed,,spatial,mclust,3611,7,7,0.4507038745023659,0.614687650696096,0.8571032954860149,0.0620066277992861
151674,banksy,fixed,,spatial,mclust,3635,7,7,0.5409141186041446,0.6685202039049666,0.8366987620357634,0.0611473209824559
151675,banksy,fixed,,spatial,mclust,3566,7,7,0.4957386145713159,0.6507423353482817,0.8568143578238924,0.0627363707417608
151676,banksy,fixed,,spatial,mclust,3431,7,7,0.5396675733844974,0.657838860593078,0.8398426114835325,0.0646290464510366
151507,graphst,fullneighbors,annotation,annotation,mclust_refined,4221,7,7,0.447550944776785,0.6553404723309272,0.9353233830845772,0.0562564357609417
151508,graphst,fullneighbors,annotation,annotation,mclust_refined,4381,7,7,0.5046877256595558,0.6379899181564318,0.9290344670166628,0.0550771674225688
151509,graphst,fullneighbors,annotation,annotation,mclust_refined,4788,7,7,0.4770463598879194,0.6557015632908745,0.9194653299916458,0.053501358302871
151510,graphst,fullneighbors,annotation,annotation,mclust_refined,4595,7,7,0.4905987340732373,0.6007554741469402,0.93791077257889,0.0551627927432704
151669,graphst,fullneighbors,annotation,annotation,mclust_refined,3636,5,5,0.3006602308857392,0.5012709183668149,0.93987898789879,0.0612227381536852
151670,graphst,fullneighbors,annotation,annotation,mclust_refined,3484,5,5,0.5436137177224591,0.6007846001441318,0.9328932261768084,0.0603213324176385
151671,graphst,fullneighbors,annotation,annotation,mclust_refined,4093,5,5,0.6267566228297679,0.7376505759812956,0.9458343513315416,0.0577367305027124
151672,graphst,fullneighbors,annotation,annotation,mclust_refined,3888,5,5,0.6144179210496438,0.693207213384184,0.942232510288066,0.0595198607262282
151673,graphst,fullneighbors,annotation,annotation,mclust_refined,3611,7,7,0.6316925207280651,0.7304528637533044,0.893962891165882,0.060484783005025
151674,graphst,fullneighbors,annotation,annotation,mclust_refined,3635,7,7,0.4986658858353125,0.6013083321274583,0.9091884456671252,0.0602033078650021
151675,graphst,fullneighbors,annotation,annotation,mclust_refined,3566,7,7,0.4697044080282672,0.6002755876087551,0.9250701065619742,0.0605310509065838
151676,graphst,fullneighbors,annotation,annotation,mclust_refined,3431,7,7,0.5004931067781342,0.6052320869310516,0.9170504226173128,0.0624028474230933
151507,graphst,fullneighbors,annotation,spatial,mclust_refined,4221,7,7,0.4380436898396937,0.6486332308650967,0.93605780620706,0.0562564169786792
151508,graphst,fullneighbors,annotation,spatial,mclust_refined,4381,7,7,0.4671921312435709,0.6279848323718477,0.9279616525907328,0.0551029294702759
151509,graphst,fullneighbors,annotation,spatial,mclust_refined,4788,7,7,0.4186863526850984,0.5910841017953089,0.9110902255639096,0.0535270103633791
151510,graphst,fullneighbors,annotation,spatial,mclust_refined,4595,7,7,0.4432695991268277,0.6048881326490143,0.9198911860718172,0.0551636910141342
151669,graphst,fullneighbors,annotation,spatial,mclust_refined,3636,5,5,0.4467402005746856,0.6067115435072523,0.9352035203520352,0.0611813530814532
151670,graphst,fullneighbors,annotation,spatial,mclust_refined,3484,5,5,0.5386421826395776,0.5943363939232026,0.9340413318025258,0.0602989392786081
151671,graphst,fullneighbors,annotation,spatial,mclust_refined,4093,5,5,0.6130103045593942,0.7236281100029451,0.9461519667725384,0.057735534618723
151672,graphst,fullneighbors,annotation,spatial,mclust_refined,3888,5,5,0.6156593049060421,0.6944560943102206,0.9420781893004117,0.0596150286208498
151673,graphst,fullneighbors,annotation,spatial,mclust_refined,3611,7,7,0.606612796868083,0.7163161622003995,0.8908612572694544,0.0612176447674147
151674,graphst,fullneighbors,annotation,spatial,mclust_refined,3635,7,7,0.4815444312092891,0.619483826220246,0.917496561210454,0.0597790757818467
151675,graphst,fullneighbors,annotation,spatial,mclust_refined,3566,7,7,0.4894966644090773,0.612932945518365,0.9199383062254628,0.060369191309758
151676,graphst,fullneighbors,annotation,spatial,mclust_refined,3431,7,7,0.4804532809078115,0.6237418185300487,0.913582046050714,0.0623689749380779
151507,graphst,fullneighbors,spatial,annotation,mclust_refined,4221,7,7,0.4042791810508593,0.6068838265016612,0.9376214167258944,0.0562569670574929
151508,graphst,fullneighbors,spatial,annotation,mclust_refined,4381,7,7,0.275579249509795,0.4977248009528573,0.9370235106140152,0.0550780034318943
151509,graphst,fullneighbors,spatial,annotation,mclust_refined,4788,7,7,0.4534715723267649,0.6077504571810238,0.9130743525480368,0.0536260524425084
151510,graphst,fullneighbors,spatial,annotation,mclust_refined,4595,7,7,0.4529905686551445,0.6132984152029844,0.9199564744287267,0.0551729079981871
151669,graphst,fullneighbors,spatial,annotation,mclust_refined,3636,5,5,0.3788653033505619,0.5472134566810672,0.9409240924092408,0.0611849586997522
151670,graphst,fullneighbors,spatial,annotation,mclust_refined,3484,5,5,0.6039905301872885,0.6191614749079138,0.934357060849598,0.0603104302948565
151671,graphst,fullneighbors,spatial,annotation,mclust_refined,4093,5,5,0.6302089326210958,0.7474379542034127,0.9443195699975568,0.0577480311510828
151672,graphst,fullneighbors,spatial,annotation,mclust_refined,3888,5,5,0.6479890815982843,0.7186201887157563,0.943312757201646,0.0595197791105175
151673,graphst,fullneighbors,spatial,annotation,mclust_refined,3611,7,7,0.6190238669206909,0.7197252934039494,0.8924951536970368,0.0612020299322521
151674,graphst,fullneighbors,spatial,annotation,mclust_refined,3635,7,7,0.4741449754427628,0.5943090743459061,0.9222833562585968,0.0603603062141929
151675,graphst,fullneighbors,spatial,annotation,mclust_refined,3566,7,7,0.5117934831908981,0.6358280449531963,0.9150028042624788,0.0604867604667069
151676,graphst,fullneighbors,spatial,annotation,mclust_refined,3431,7,7,0.5572468702369444,0.6500262776353783,0.9105800058292044,0.0626242371819594
151507,graphst,fullneighbors,spatial,spatial,mclust_refined,4221,7,7,0.3886420004863285,0.5975878006295176,0.9372897417673536,0.0562555450698193
151508,graphst,fullneighbors,spatial,spatial,mclust_refined,4381,7,7,0.4602260445731853,0.6275149686468644,0.92864642775622,0.0550885892528981
