method,cluster,n_cluster,n_cavity,cavity_fraction,cavity_recall,cavity_f1,cavity_iou
STEP sampled,0,7967,1973,0.24764654198569097,0.20687847331445947,0.2254341864716636,0.1270362500804842
STEP sampled,1,9560,0,0.0,0.0,0.0,0.0
STEP sampled,10,14132,0,0.0,0.0,0.0,0.0
STEP sampled,11,10153,50,0.004924652811976756,0.005242738806752648,0.005078720162519046,0.0025458248472505093
STEP sampled,12,6225,438,0.07036144578313253,0.04592639194715319,0.055576703464027405,0.028582615505090055
STEP sampled,13,2955,6,0.0020304568527918783,0.0006291286568103177,0.0009606147934678194,0.0004805382027871216
STEP sampled,14,2150,1,0.00046511627906976747,0.00010485477613505295,0.00017113031573543256,8.557247989046722e-05
STEP sampled,15,1956,0,0.0,0.0,0.0,0.0
STEP sampled,16,6401,1060,0.1655991251366974,0.11114606270315613,0.1330154348098883,0.07124613523323027
STEP sampled,17,1689,5,0.002960331557134399,0.0005242738806752647,0.0008907892392659896,0.0004455930843953302
STEP sampled,2,7290,57,0.007818930041152264,0.005976722239698019,0.006774826172223213,0.003398926654740608
STEP sampled,3,14497,282,0.019452300475960544,0.029569046870084933,0.023466755429807775,0.011872684405523746
STEP sampled,4,1665,283,0.16996996996996996,0.029673901646219986,0.05052669166220317,0.025918124370363588
STEP sampled,5,6488,2648,0.4081381011097411,0.27765544720562024,0.3304836193447738,0.1979517081557898
STEP sampled,6,10057,57,0.005667694143382719,0.005976722239698019,0.0058181075839542715,0.0029175410759072528
STEP sampled,7,2477,258,0.10415825595478401,0.027052532242843663,0.04294989179290828,0.021946240217761145
STEP sampled,8,3353,2404,0.7169698777214435,0.25207088182866727,0.3730023273855702,0.22925805836353233
STEP sampled,9,4442,15,0.003376857271499325,0.0015728216420257944,0.0021460762572430075,0.0010741907762818676
NicheCompass,0,6369,3294,0.5171926519076778,0.3453916325888644,0.41418332704639754,0.26117982873453854
NicheCompass,1,4468,101,0.022605192479856758,0.010590332389640349,0.014423420207068906,0.00726409666283084
NicheCompass,10,10220,0,0.0,0.0,0.0,0.0
NicheCompass,11,8623,184,0.02133828134060072,0.019293278808849745,0.02026431718061674,0.010235870048954161
NicheCompass,12,5495,47,0.008553230209281166,0.004928174478347489,0.006253326237360298,0.00313646980313647
NicheCompass,13,2089,292,0.13977979894686454,0.03061759463143546,0.05023223808704628,0.025763190400564673
NicheCompass,14,10856,1343,0.12371039056742815,0.1408199643493761,0.13171186191340165,0.07049868766404199
NicheCompass,15,7400,0,0.0,0.0,0.0,0.0
NicheCompass,16,1898,675,0.35563751317175973,0.07077697389116074,0.11805859204197637,0.06273234200743494
NicheCompass,17,3849,2258,0.586645882047285,0.23676208451294956,0.3373673987748394,0.2029115744069015
NicheCompass,2,7363,104,0.014124677441260355,0.010904896718045507,0.012307692307692308,0.006191950464396285
NicheCompass,3,5700,1,0.00017543859649122806,0.00010485477613505295,0.0001312594342718383,6.563402467839328e-05
NicheCompass,4,10580,0,0.0,0.0,0.0,0.0
NicheCompass,5,3201,1061,0.3314589190877851,0.11125091747929118,0.16658816140681426,0.09086237903571123
NicheCompass,6,9745,15,0.0015392508978963571,0.0015728216420257944,0.0015558552017425579,0.0007785332433694919
NicheCompass,7,5554,138,0.02484695714800144,0.014469959106637308,0.018289046451527402,0.009228917274125593
NicheCompass,8,4220,7,0.0016587677725118483,0.0007339834329453706,0.0010176637348259068,0.0005090909090909091
NicheCompass,9,5827,17,0.002917453234940793,0.0017825311942959,0.0022129653736006247,0.0011077083469081905
BANKSY (Harmony),0,4234,2927,0.6913084553613604,0.30690992974729997,0.42509621668724135,0.2699188491331612
BANKSY (Harmony),1,7450,172,0.02308724832214765,0.018035021495229106,0.020250780008241594,0.010228962236098722
BANKSY (Harmony),10,8368,173,0.020673996175908222,0.01813987627136416,0.019324211114213907,0.009756372659598465
BANKSY (Harmony),11,3525,1,0.00028368794326241134,0.00010485477613505295,0.00015311590874291837,7.656381594058648e-05
BANKSY (Harmony),12,6293,982,0.15604640076275225,0.102967390164622,0.12406822488945042,0.06613685344827586
BANKSY (Harmony),13,8455,171,0.020224719101123594,0.017930166719094056,0.019008448199199644,0.00959542113237192
BANKSY (Harmony),14,4789,1234,0.25767383587387765,0.12939079375065535,0.17227418679324305,0.09425603421937061
BANKSY (Harmony),15,3361,55,0.01636417732817614,0.0057670126874279125,0.008528454023879672,0.004282488515144437
BANKSY (Harmony),16,4795,168,0.035036496350364967,0.017615602390688895,0.023444041306168017,0.011861056198813894
BANKSY (Harmony),17,6539,559,0.08548707753479125,0.0586138198594946,0.06954466285145558,0.03602500483340852
BANKSY (Harmony),2,7942,99,0.012465373961218837,0.010380622837370242,0.011327879169288861,0.00569620253164557
BANKSY (Harmony),3,7930,2671,0.33682219419924336,0.28006710705672644,0.30583385813247843,0.18052176263855096
BANKSY (Harmony),4,9575,3,0.0003133159268929504,0.00031456432840515884,0.0003139388865634157,0.00015699408655607305
BANKSY (Harmony),5,3843,46,0.011969815248503773,0.004823319702212436,0.00687593423019432,0.0034498275086245686
BANKSY (Harmony),6,10133,0,0.0,0.0,0.0,0.0
BANKSY (Harmony),7,5171,22,0.0042544962289692515,0.002306805074971165,0.002991569214033179,0.0014980253302464932
BANKSY (Harmony),8,6973,253,0.03628280510540657,0.0265282583621684,0.0306480920654149,0.015562526911484284
BANKSY (Harmony),9,4081,1,0.0002450379808870375,0.00010485477613505295,0.000146864444118079,7.343761474627305e-05
GraphST full graph,0,448,188,0.41964285714285715,0.019712697913389955,0.037656484727090635,0.019189547820761457
GraphST full graph,1,7773,23,0.00295896050430979,0.002411659851106218,0.0026574234546504908,0.0013304795511077689
GraphST full graph,10,3559,2345,0.6588929474571509,0.24588445003669918,0.3581246182040318,0.21811924472142127
GraphST full graph,11,15017,31,0.0020643270959579143,0.0032504980601866414,0.002525046835546143,0.0012641193981160544
GraphST full graph,12,2028,0,0.0,0.0,0.0,0.0
GraphST full graph,13,1833,6,0.0032733224222585926,0.0006291286568103177,0.0010554089709762533,0.0005279831045406547
GraphST full graph,14,2033,0,0.0,0.0,0.0,0.0
GraphST full graph,15,831,781,0.9398315282791817,0.08189158016147635,0.15065586419753088,0.0814644831542714
GraphST full graph,16,3283,568,0.17301248857752055,0.05955751284471008,0.08861154446177846,0.04635977799542932
GraphST full graph,17,4482,1528,0.34091923248549755,0.1602180979343609,0.2179898708895071,0.12232807621487471
GraphST full graph,2,10679,237,0.022193089240565594,0.02485058194400755,0.023446774831816383,0.011862455578357274
GraphST full graph,3,3047,191,0.0626846078109616,0.020027262241795112,0.0303560076287349,0.015411926087307352
GraphST full graph,4,11592,0,0.0,0.0,0.0,0.0
GraphST full graph,5,2140,669,0.3126168224299065,0.07014784523435043,0.11458422540035969,0.06077398255813953
GraphST full graph,6,13886,2058,0.14820682702002017,0.21579112928593897,0.1757247150236947,0.09632576644043997
GraphST full graph,7,1646,105,0.0637910085054678,0.01100975149418056,0.018778503085039793,0.009478245170608413
GraphST full graph,8,18672,443,0.023725364181662382,0.04645066582782846,0.03140841575383743,0.0159547648202838
GraphST full graph,9,10508,364,0.034640274076893796,0.038167138513159275,0.03631828386131204,0.018494995173009503
STAGATE full graph,0,3890,2862,0.73573264781491,0.30009436929852157,0.4263052059283533,0.2708944628490298
STAGATE full graph,1,8375,0,0.0,0.0,0.0,0.0
STAGATE full graph,10,2066,12,0.005808325266214908,0.0012582573136206354,0.0020684305782987158,0.0010352859977568803
STAGATE full graph,11,6920,697,0.10072254335260115,0.07308377896613191,0.08470559640274655,0.0442258883248731
STAGATE full graph,12,3198,0,0.0,0.0,0.0,0.0
STAGATE full graph,13,6685,53,0.00792819745699327,0.005557303135157806,0.00653433608679571,0.00327787741975385
